Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
9,153.25,18.07449861,4,1.5,1.118033989,231080.6053,0.394684789,585481.406,Debris
10,146.5,21.74281491,4,1.5,1.118033989,24106.82474,0.175261572,137547.6921,Debris
11,163.8,30.64245421,5,1.833333333,1.067187373,51491.43453,1000.805474,51.44999292,Debris
12,105,0,1,0,0,99369,0,inf,Debris
13,141.6666667,31.71049598,3,1.5,1.118033989,40203.5837,0.194081648,207147.7861,Debris
14,126,0,1,0,0,22973,0,inf,Debris
15,129,0,1,0,0,5941,0,inf,Debris
16,159.2307692,43.30243171,13,2.8,1.166190379,133647.107,3333.656306,40.09024769,Star
17,156.5,25.5,2,0.5,0.5,95051.37032,2440.129684,38.95340929,Debris
18,173.5,13.61065759,4,1.5,1.118033989,45800.92655,0.073448296,623580.5211,Debris
19,158.25,37.93003427,4,1.5,1.118033989,293732.7017,0.298284799,984739.0894,Debris
20,187.8571429,25.64832811,7,2.222222222,1.030402055,318229.483,1.047569018,303779.0138,Star
21,100.5,1.5,2,0.5,0.5,7928.511278,546.9887218,14.49483502,Debris
22,162,29.93325909,3,1.5,1.118033989,96790.3014,0.143045783,676638.6217,Debris
23,185,0,1,0,0,8917,0,inf,Debris
24,173.1041667,35.79876603,48,3.9375,2.22679001,232178.542,10214.68023,22.72988843,Star
25,149.5,40.5,2,0.5,0.5,126889.4193,7593.080694,16.71119068,Debris
26,166.8461538,43.72263303,13,2.7,1.053565375,101275.2869,1651.103601,61.33793595,Star
27,109,0,1,0,0,39762,0,inf,Debris
28,166.125,39.26333372,8,2,1.054092553,174790.0155,0.078267485,2233239.185,Star
29,104,0,1,0,0,34669,0,inf,Debris
30,150.75,49.86168369,4,2,1.154700538,469520.161,16008.464,29.32949477,Debris
31,154.5714286,41.3481979,7,2.333333333,1.054092553,261818.3776,0.153019613,1711011.887,Debris
32,126,14.71960144,3,1.5,1.118033989,289114.3441,0.100352836,2880978.303,Debris
33,124,5,2,0.5,0.5,30789.96618,454.5338218,67.73965919,Debris
34,159.5,24.58149711,4,1.5,1.118033989,124480.9954,0.004627212,26901941.33,Debris
35,127.5,19.5,2,0.5,0.5,93272.05475,14440.44525,6.459084407,Debris
36,166,34.44664611,7,2.111111111,1.099943882,144992.0369,0.922239247,157217.3787,Debris
